,,feature,feature,feature,feature,feature
,,A_sudden_spike_in_the_rank_of_sm_0,A_sudden_spike_in_the_rank_of_sm_1,A_sudden_spike_in_the_rank_of_sm_2,A_sudden_spike_in_the_rank_of_sm_3,A_sudden_spike_in_the_rank_of_sm_4
datetime,instrument,,,,,
2021-11-03,SH600259,,,,0.0,0.09999999999999998
2021-11-03,SH600260,,,,0.0,0.8
2021-11-03,SH600261,,,,0.0,0.0
2021-11-03,SH600262,,,,0.0,0.0
2021-11-03,SH600265,,,,0.0,0.4
2021-11-03,SH600266,,,,0.0,0.30000000000000004
2021-11-03,SH600267,,,,0.0,0.7
2021-11-03,SH600268,,,,0.0,0.09999999999999998
2021-11-03,SH600269,,,,0.0,0.0
2021-11-03,SH600271,,,,0.0,0.5
2021-11-03,SH600272,,,,0.0,0.09999999999999998
2021-11-03,SH600273,,,,0.0,0.5
2021-11-03,SH600275,,,,0.0,0.09999999999999998
2021-11-03,SH600276,,,,0.0,0.09999999999999998
2021-11-03,SH600277,,,,0.0,0.30000000000000004
2021-11-03,SH600278,,,,0.0,0.6
2021-11-03,SH600279,,,,0.0,0.19999999999999996
2021-11-03,SH600280,,,,0.0,0.4
2021-11-03,SH600281,,,,0.0,0.30000000000000004
2021-11-03,SH600282,,,,0.0,0.19999999999999996
2021-11-03,SH600283,,,,0.0,0.19999999999999996
2021-11-03,SH600284,,,,0.0,0.19999999999999996
2021-11-03,SH600285,,,,0.0,0.5
2021-11-03,SH600287,,,,0.0,0.19999999999999996
2021-11-03,SH600288,,,,0.0,0.30000000000000004
2021-11-03,SH600289,,,,0.0,0.0
2021-11-03,SH600290,,,,0.0,0.30000000000000004
2021-11-03,SH600291,,,,0.0,0.09999999999999998
2021-11-03,SH600292,,,,0.0,0.19999999999999996
2021-11-03,SH600293,,,,0.0,0.35
2021-11-03,SH600295,,,,0.0,0.7
2021-11-03,SH600297,,,,0.0,0.0
2021-11-03,SH600298,,,,0.0,0.7
2021-11-03,SH600299,,,,0.0,0.0
2021-11-03,SH600300,,,,0.0,0.09999999999999998
2021-11-03,SH600301,,,,0.0,0.8
2021-11-03,SH600302,,,,0.0,0.09999999999999998
2021-11-03,SH600303,,,,0.0,0.19999999999999996
2021-11-03,SH600305,,,,0.0,0.30000000000000004
2021-11-03,SH600306,,,,0.0,0.4
2021-11-03,SH600307,,,,0.0,0.19999999999999996
2021-11-03,SH600308,,,,0.0,0.19999999999999996
2021-11-03,SH600309,,,,0.0,0.8
2021-11-03,SH600310,,,,0.0,0.8
2021-11-03,SH600311,,,,0.0,0.75
2021-11-03,SH600312,,,,0.0,0.19999999999999996
2021-11-03,SH600313,,,,0.0,0.4
2021-11-03,SH600315,,,,0.0,0.30000000000000004
2021-11-03,SH600316,,,,0.0,0.8
2021-11-03,SH600318,,,,0.0,0.30000000000000004
2021-11-03,SH600319,,,,0.0,0.7
2021-11-03,SH600320,,,,0.0,0.0
2021-11-03,SH600321,,,,0.0,0.09999999999999998
2021-11-03,SH600322,,,,0.0,0.5
2021-11-03,SH600323,,,,0.0,0.09999999999999998
2021-11-03,SH600325,,,,0.0,0.30000000000000004
2021-11-03,SH600326,,,,0.0,0.09999999999999998
2021-11-03,SH600327,,,,0.0,0.5
2021-11-03,SH600328,,,,0.0,0.30000000000000004
2021-11-03,SH600329,,,,0.0,0.09999999999999998
2021-11-03,SH600330,,,,0.0,0.8
2021-11-03,SH600331,,,,0.0,0.09999999999999998
2021-11-03,SH600332,,,,0.0,0.30000000000000004
2021-11-03,SH600333,,,,0.0,0.19999999999999996
2021-11-03,SH600335,,,,0.0,0.0
2021-11-03,SH600336,,,,0.0,0.5
2021-11-03,SH600337,,,,0.0,0.6
2021-11-03,SH600338,,,,0.0,0.30000000000000004
2021-11-03,SH600339,,,,0.0,0.09999999999999998
2021-11-03,SH600340,,,,0.0,0.19999999999999996
2021-11-03,SH600343,,,,0.0,0.7
2021-11-03,SH600345,,,,0.0,0.0
2021-11-03,SH600346,,,,0.0,0.5
2021-11-03,SH600348,,,,0.0,0.19999999999999996
2021-11-03,SH600350,,,,0.0,0.4
2021-11-04,SH000300,,,,0.0,0.0
2021-11-04,SH000852,,,,0.0,0.09999999999999998
2021-11-04,SH000905,,,,0.0,0.19999999999999996
2021-11-04,SH000906,,,,0.0,0.09999999999999998
2021-11-04,SH000985,,,,0.0,0.09999999999999998
2021-11-04,SH600000,,,,0.0,0.4
2021-11-04,SH600004,,,,0.0,0.8
2021-11-04,SH600006,,,,0.0,0.0
2021-11-04,SH600007,,,,0.0,0.4
2021-11-04,SH600008,,,,0.0,0.09999999999999998
2021-11-04,SH600009,,,,0.0,0.8
2021-11-04,SH600010,,,,0.0,0.4
2021-11-04,SH600011,,,,0.0,0.5
2021-11-04,SH600012,,,,0.0,0.4
2021-11-04,SH600015,,,,0.0,0.5
2021-11-04,SH600016,,,,0.0,0.4
2021-11-04,SH600017,,,,0.0,0.19999999999999996
2021-11-04,SH600018,,,,0.0,0.30000000000000004
2021-11-04,SH600019,,,,0.0,0.6
2021-11-04,SH600020,,,,0.0,0.09999999999999998
2021-11-04,SH600021,,,,0.0,0.30000000000000004
2021-11-04,SH600022,,,,0.0,0.5
2021-11-04,SH600023,,,,0.0,0.09999999999999998
2021-11-04,SH600026,,,,0.0,0.0
2021-11-04,SH600027,,,,0.0,0.09999999999999998
2021-11-04,SH600028,,,,0.0,0.30000000000000004
2021-11-04,SH600029,,,,0.0,0.30000000000000004
2021-11-04,SH600030,,,,0.0,0.5
2021-11-04,SH600031,,,,0.0,0.4
2021-11-04,SH600033,,,,0.0,0.30000000000000004
2021-11-04,SH600035,,,,0.0,0.5
2021-11-04,SH600036,,,,0.0,0.4
2021-11-04,SH600037,,,,0.0,0.4
2021-11-04,SH600038,,,,0.0,0.4
2021-11-04,SH600039,,,,0.0,0.30000000000000004
2021-11-04,SH600048,,,,0.0,0.6
2021-11-04,SH600050,,,,0.0,0.19999999999999996
2021-11-04,SH600051,,,,0.0,0.4
2021-11-04,SH600052,,,,0.0,0.30000000000000004
2021-11-04,SH600053,,,,0.0,0.4
2021-11-04,SH600054,,,,0.0,0.19999999999999996
2021-11-04,SH600055,,,,0.0,0.19999999999999996
2021-11-04,SH600056,,,,0.0,0.30000000000000004
2021-11-04,SH600057,,,,0.0,0.6
2021-11-04,SH600058,,,,0.0,0.30000000000000004
2021-11-04,SH600059,,,,0.0,0.5
2021-11-04,SH600060,,,,0.0,0.09999999999999998
2021-11-04,SH600061,,,,0.0,0.5
2021-11-04,SH600062,,,,0.0,0.09999999999999998
2021-11-04,SH600063,,,,0.0,0.7
2021-11-04,SH600064,,,,0.0,0.5
2021-11-04,SH600066,,,,0.0,0.0
2021-11-04,SH600067,,,,0.0,0.09999999999999998
2021-11-04,SH600070,,,,0.0,0.09999999999999998
2021-11-04,SH600071,,,,0.0,0.0
2021-11-04,SH600072,,,,0.0,0.19999999999999996
2021-11-04,SH600073,,,,0.0,0.19999999999999996
2021-11-04,SH600075,,,,0.0,0.4
2021-11-04,SH600076,,,,0.0,0.19999999999999996
2021-11-04,SH600077,,,,0.0,0.19999999999999996
2021-11-04,SH600078,,,,0.0,0.7
2021-11-04,SH600079,,,,0.0,0.4
2021-11-04,SH600080,,,,0.0,0.4
2021-11-04,SH600081,,,,0.0,0.09999999999999998
2021-11-04,SH600082,,,,0.0,0.25
2021-11-04,SH600083,,,,0.0,0.09999999999999998
2021-11-04,SH600084,,,,0.0,0.5
2021-11-04,SH600085,,,,0.0,0.4
2021-11-04,SH600088,,,,0.0,0.5
2021-11-04,SH600089,,,,0.0,0.30000000000000004
2021-11-04,SH600090,,,,0.0,0.0
2021-11-04,SH600091,,,,0.0,0.0
2021-11-04,SH600093,,,,0.0,0.6
2021-11-04,SH600094,,,,0.0,0.19999999999999996
2021-11-04,SH600095,,,,0.0,0.5
2021-11-04,SH600096,,,,0.0,0.5
2021-11-04,SH600097,,,,0.0,0.09999999999999998
2021-11-04,SH600098,,,,0.0,0.09999999999999998
2021-11-04,SH600099,,,,0.0,0.19999999999999996
2021-11-04,SH600100,,,,0.0,0.30000000000000004
2021-11-04,SH600101,,,,0.0,0.0
2021-11-04,SH600103,,,,0.0,0.19999999999999996
2021-11-04,SH600104,,,,0.0,0.0
2021-11-04,SH600105,,,,0.0,0.09999999999999998
2021-11-04,SH600106,,,,0.0,0.35
2021-11-04,SH600107,,,,0.0,0.19999999999999996
2021-11-04,SH600108,,,,0.0,0.0
2021-11-04,SH600109,,,,0.0,0.5
2021-11-04,SH600110,,,,0.0,0.7
2021-11-04,SH600111,,,,0.0,0.19999999999999996
2021-11-04,SH600112,,,,0.0,0.5
2021-11-04,SH600113,,,,0.0,0.30000000000000004
2021-11-04,SH600114,,,,0.0,0.09999999999999998
2021-11-04,SH600115,,,,0.0,0.09999999999999998
2021-11-04,SH600116,,,,0.0,0.4
2021-11-04,SH600117,,,,0.0,0.4
2021-11-04,SH600118,,,,0.0,0.19999999999999996
2021-11-04,SH600119,,,,0.0,0.5
2021-11-04,SH600120,,,,0.0,0.30000000000000004
2021-11-04,SH600121,,,,0.0,0.6
2021-11-04,SH600122,,,,0.0,0.19999999999999996
2021-11-04,SH600123,,,,0.0,0.7
2021-11-04,SH600125,,,,0.0,0.30000000000000004
2021-11-04,SH600126,,,,0.0,0.30000000000000004
2021-11-04,SH600127,,,,0.0,0.4
2021-11-04,SH600128,,,,0.0,0.0
2021-11-04,SH600129,,,,0.0,0.19999999999999996
2021-11-04,SH600130,,,,0.0,0.19999999999999996
2021-11-04,SH600131,,,,0.0,0.19999999999999996
2021-11-04,SH600132,,,,0.0,0.6
2021-11-04,SH600133,,,,0.0,0.19999999999999996
2021-11-04,SH600135,,,,0.0,0.30000000000000004
2021-11-04,SH600136,,,,0.0,0.4
2021-11-04,SH600137,,,,0.0,0.4
2021-11-04,SH600138,,,,0.0,0.19999999999999996
2021-11-04,SH600139,,,,0.0,0.09999999999999998
2021-11-04,SH600141,,,,0.0,0.7
2021-11-04,SH600143,,,,0.0,0.4
2021-11-04,SH600145,,,,0.0,0.0
2021-11-04,SH600146,,,,0.0,0.4
2021-11-04,SH600148,,,,0.0,0.19999999999999996
2021-11-04,SH600149,,,,0.0,0.30000000000000004
2021-11-04,SH600150,,,,0.0,0.4
2021-11-04,SH600151,,,,0.0,0.19999999999999996
2021-11-04,SH600152,,,,0.0,0.19999999999999996
2021-11-04,SH600153,,,,0.0,0.0
2021-11-04,SH600155,,,,0.0,0.30000000000000004
2021-11-04,SH600156,,,,0.0,0.4
2021-11-04,SH600157,,,,0.0,0.6
2021-11-04,SH600158,,,,0.0,0.09999999999999998
2021-11-04,SH600159,,,,0.0,0.19999999999999996
2021-11-04,SH600160,,,,0.0,0.7
2021-11-04,SH600161,,,,0.0,0.09999999999999998
2021-11-04,SH600162,,,,0.0,0.35
2021-11-04,SH600163,,,,0.0,0.0
2021-11-04,SH600165,,,,0.0,0.30000000000000004
2021-11-04,SH600166,,,,0.0,0.0
2021-11-04,SH600167,,,,0.0,0.0
2021-11-04,SH600168,,,,0.0,0.30000000000000004
2021-11-04,SH600169,,,,0.0,0.0
2021-11-04,SH600170,,,,0.0,0.6
2021-11-04,SH600171,,,,0.0,0.4
2021-11-04,SH600172,,,,0.0,0.09999999999999998
2021-11-04,SH600173,,,,0.0,0.0
2021-11-04,SH600176,,,,0.0,0.09999999999999998
2021-11-04,SH600177,,,,0.0,0.30000000000000004
2021-11-04,SH600178,,,,0.0,0.30000000000000004
2021-11-04,SH600179,,,,0.0,0.30000000000000004
2021-11-04,SH600180,,,,0.0,0.09999999999999998
2021-11-04,SH600182,,,,0.0,0.19999999999999996
2021-11-04,SH600183,,,,0.0,0.09999999999999998
2021-11-04,SH600184,,,,0.0,0.4
2021-11-04,SH600185,,,,0.0,0.5
2021-11-04,SH600186,,,,0.0,0.19999999999999996
2021-11-04,SH600187,,,,0.0,0.30000000000000004
2021-11-04,SH600188,,,,0.0,0.5
2021-11-04,SH600189,,,,0.0,0.0
2021-11-04,SH600190,,,,0.0,0.35
2021-11-04,SH600191,,,,0.0,0.0
2021-11-04,SH600192,,,,0.0,0.09999999999999998
2021-11-04,SH600193,,,,0.0,0.4
2021-11-04,SH600195,,,,0.0,0.09999999999999998
2021-11-04,SH600196,,,,0.0,0.5
2021-11-04,SH600197,,,,0.0,0.0
2021-11-04,SH600198,,,,0.0,0.5
2021-11-04,SH600199,,,,0.0,0.09999999999999998
2021-11-04,SH600200,,,,0.0,0.0
2021-11-04,SH600201,,,,0.0,0.09999999999999998
2021-11-04,SH600202,,,,0.0,0.09999999999999998
2021-11-04,SH600203,,,,0.0,0.19999999999999996
2021-11-04,SH600206,,,,0.0,0.09999999999999998
2021-11-04,SH600207,,,,0.0,0.09999999999999998
2021-11-04,SH600208,,,,0.0,0.9
2021-11-04,SH600209,,,,0.0,0.0
2021-11-04,SH600210,,,,0.0,0.19999999999999996
2021-11-04,SH600211,,,,0.0,0.7
2021-11-04,SH600212,,,,0.0,0.09999999999999998
2021-11-04,SH600213,,,,0.0,0.0
2021-11-04,SH600215,,,,0.0,0.19999999999999996
2021-11-04,SH600216,,,,0.0,0.0
2021-11-04,SH600217,,,,0.0,0.30000000000000004
2021-11-04,SH600218,,,,0.0,0.19999999999999996
2021-11-04,SH600219,,,,0.0,0.30000000000000004
2021-11-04,SH600220,,,,0.0,0.09999999999999998
2021-11-04,SH600221,,,,0.0,0.5
2021-11-04,SH600222,,,,0.0,0.09999999999999998
2021-11-04,SH600223,,,,0.0,0.19999999999999996
2021-11-04,SH600225,,,,0.0,0.0
2021-11-04,SH600226,,,,0.0,0.8
2021-11-04,SH600227,,,,0.0,0.19999999999999996
2021-11-04,SH600228,,,,0.0,0.30000000000000004
2021-11-04,SH600229,,,,0.0,0.4
2021-11-04,SH600230,,,,0.0,0.19999999999999996
2021-11-04,SH600231,,,,0.0,0.5
2021-11-04,SH600232,,,,0.0,0.09999999999999998
2021-11-04,SH600233,,,,0.0,0.7
2021-11-04,SH600234,,,,0.0,0.0
2021-11-04,SH600235,,,,0.0,0.09999999999999998
2021-11-04,SH600236,,,,0.0,0.19999999999999996
2021-11-04,SH600237,,,,0.0,0.19999999999999996
2021-11-04,SH600238,,,,0.0,0.0
2021-11-04,SH600239,,,,0.0,0.7
2021-11-04,SH600241,,,,0.0,0.0
2021-11-04,SH600242,,,,0.0,0.19999999999999996
2021-11-04,SH600243,,,,0.0,0.0
2021-11-04,SH600246,,,,0.0,0.09999999999999998
2021-11-04,SH600248,,,,0.0,0.19999999999999996
2021-11-04,SH600249,,,,0.0,0.09999999999999998
2021-11-04,SH600250,,,,0.0,0.09999999999999998
2021-11-04,SH600251,,,,0.0,0.19999999999999996
2021-11-04,SH600252,,,,0.0,0.30000000000000004
2021-11-04,SH600255,,,,0.0,0.19999999999999996
2021-11-04,SH600256,,,,0.0,0.30000000000000004
2021-11-04,SH600257,,,,0.0,0.4
2021-11-04,SH600258,,,,0.0,0.6
2021-11-04,SH600259,,,,0.0,0.30000000000000004
2021-11-04,SH600260,,,,0.0,0.4
2021-11-04,SH600261,,,,0.0,0.0
2021-11-04,SH600262,,,,0.0,0.7
2021-11-04,SH600265,,,,0.0,0.19999999999999996
2021-11-04,SH600266,,,,0.0,0.5
2021-11-04,SH600267,,,,0.0,0.19999999999999996
2021-11-04,SH600268,,,,0.0,0.7
2021-11-04,SH600269,,,,0.0,0.30000000000000004
2021-11-04,SH600271,,,,0.0,0.19999999999999996
2021-11-04,SH600272,,,,0.0,0.4
2021-11-04,SH600273,,,,0.0,0.5
2021-11-04,SH600275,,,,0.0,0.7
2021-11-04,SH600276,,,,0.0,0.0
2021-11-04,SH600277,,,,0.0,0.4
2021-11-04,SH600278,,,,0.0,0.19999999999999996
2021-11-04,SH600279,,,,0.0,0.0
2021-11-04,SH600280,,,,0.0,0.09999999999999998
2021-11-04,SH600281,,,,0.0,0.4
2021-11-04,SH600282,,,,0.0,0.6
2021-11-04,SH600283,,,,0.0,0.5
2021-11-04,SH600284,,,,0.0,0.4
2021-11-04,SH600285,,,,0.0,0.6
2021-11-04,SH600287,,,,0.0,0.30000000000000004
2021-11-04,SH600288,,,,0.0,0.09999999999999998
2021-11-04,SH600289,,,,0.0,0.9
2021-11-04,SH600290,,,,0.0,0.0
2021-11-04,SH600291,,,,0.0,0.30000000000000004
2021-11-04,SH600292,,,,0.0,0.30000000000000004
2021-11-04,SH600293,,,,0.0,0.5
2021-11-04,SH600295,,,,0.0,0.5
2021-11-04,SH600297,,,,0.0,0.19999999999999996
2021-11-04,SH600298,,,,0.0,0.8
2021-11-04,SH600299,,,,0.0,0.6
2021-11-04,SH600300,,,,0.0,0.5
2021-11-04,SH600301,,,,0.0,0.30000000000000004
2021-11-04,SH600302,,,,0.0,0.19999999999999996
2021-11-04,SH600303,,,,0.0,0.0
2021-11-04,SH600305,,,,0.0,0.09999999999999998
2021-11-04,SH600306,,,,0.0,0.0
2021-11-04,SH600307,,,,0.0,0.7
2021-11-04,SH600308,,,,0.0,0.30000000000000004
2021-11-04,SH600309,,,,0.0,0.09999999999999998
2021-11-04,SH600310,,,,0.0,0.0
2021-11-04,SH600311,,,,0.0,0.15000000000000002
2021-11-04,SH600312,,,,0.0,0.4
2021-11-04,SH600313,,,,0.0,0.0
2021-11-04,SH600315,,,,0.0,0.5
2021-11-04,SH600316,,,,0.0,0.30000000000000004
2021-11-04,SH600318,,,,0.0,0.4
2021-11-04,SH600319,,,,0.0,0.19999999999999996
2021-11-04,SH600320,,,,0.0,0.19999999999999996
2021-11-04,SH600321,,,,0.0,0.09999999999999998
2021-11-04,SH600322,,,,0.0,0.5
2021-11-04,SH600323,,,,0.0,0.5
2021-11-04,SH600325,,,,0.0,0.5
2021-11-04,SH600326,,,,0.0,0.0
2021-11-04,SH600327,,,,0.0,0.5
2021-11-04,SH600328,,,,0.0,0.19999999999999996
2021-11-04,SH600329,,,,0.0,0.4
2021-11-04,SH600330,,,,0.0,0.09999999999999998
2021-11-04,SH600331,,,,0.0,0.4
2021-11-04,SH600332,,,,0.0,0.19999999999999996
2021-11-04,SH600333,,,,0.0,0.30000000000000004
2021-11-04,SH600335,,,,0.0,0.19999999999999996
2021-11-04,SH600336,,,,0.0,0.7
2021-11-04,SH600337,,,,0.0,0.44999999999999996
2021-11-04,SH600338,,,,0.0,0.5
2021-11-04,SH600339,,,,0.0,0.5
2021-11-04,SH600340,,,,0.0,0.30000000000000004
2021-11-04,SH600343,,,,0.0,0.19999999999999996
2021-11-04,SH600345,,,,0.0,0.0
2021-11-04,SH600346,,,,0.0,0.5
2021-11-04,SH600348,,,,0.0,0.4
2021-11-04,SH600350,,,,0.0,0.5
2021-11-05,SH000300,,,,0.0,0.6
2021-11-05,SH000852,,,,0.0,0.8
2021-11-05,SH000905,,,,0.0,0.8
2021-11-05,SH000906,,,,0.0,0.6
2021-11-05,SH000985,,,,0.0,0.6
2021-11-05,SH600000,,,,0.0,0.0
2021-11-05,SH600004,,,,0.0,0.5
2021-11-05,SH600006,,,,0.0,0.6
2021-11-05,SH600007,,,,0.0,0.6
2021-11-05,SH600008,,,,0.0,0.8
2021-11-05,SH600009,,,,0.0,0.5
2021-11-05,SH600010,,,,0.0,0.8
2021-11-05,SH600011,,,,0.0,0.9
2021-11-05,SH600012,,,,0.0,0.7
2021-11-05,SH600015,,,,0.0,0.4
2021-11-05,SH600016,,,,0.0,0.35
2021-11-05,SH600017,,,,0.0,0.7
2021-11-05,SH600018,,,,0.0,0.7
2021-11-05,SH600019,,,,0.0,0.9
2021-11-05,SH600020,,,,0.0,0.4
2021-11-05,SH600021,,,,0.0,0.8
2021-11-05,SH600022,,,,0.0,0.8
2021-11-05,SH600023,,,,0.0,0.9
2021-11-05,SH600026,,,,0.0,0.5
2021-11-05,SH600027,,,,0.0,0.9
2021-11-05,SH600028,,,,0.0,0.6
2021-11-05,SH600029,,,,0.0,0.30000000000000004
2021-11-05,SH600030,,,,0.0,0.5
2021-11-05,SH600031,,,,0.0,0.0
2021-11-05,SH600033,,,,0.0,0.19999999999999996
2021-11-05,SH600035,,,,0.0,0.6
2021-11-05,SH600036,,,,0.0,0.4
2021-11-05,SH600037,,,,0.0,0.0
2021-11-05,SH600038,,,,0.0,0.9
2021-11-05,SH600039,,,,0.0,0.6
2021-11-05,SH600048,,,,0.0,0.8
2021-11-05,SH600050,,,,0.0,0.35
2021-11-05,SH600051,,,,0.0,0.5
2021-11-05,SH600052,,,,0.0,0.7
2021-11-05,SH600053,,,,0.0,0.19999999999999996
2021-11-05,SH600054,,,,0.0,0.19999999999999996
2021-11-05,SH600055,,,,0.0,0.6
2021-11-05,SH600056,,,,0.0,0.7
2021-11-05,SH600057,,,,0.0,0.9
2021-11-05,SH600058,,,,0.0,0.6
2021-11-05,SH600059,,,,0.0,0.6
2021-11-05,SH600060,,,,0.0,0.09999999999999998
2021-11-05,SH600061,,,,0.0,0.19999999999999996
2021-11-05,SH600062,,,,0.0,0.6
2021-11-05,SH600063,,,,0.0,0.9
2021-11-05,SH600064,,,,0.0,0.44999999999999996
2021-11-05,SH600066,,,,0.0,0.09999999999999998
2021-11-05,SH600067,,,,0.0,0.8
2021-11-05,SH600070,,,,0.0,0.30000000000000004
2021-11-05,SH600071,,,,0.0,0.5
2021-11-05,SH600072,,,,0.0,0.6
2021-11-05,SH600073,,,,0.0,0.7
2021-11-05,SH600075,,,,0.0,0.8
2021-11-05,SH600076,,,,0.0,0.6
2021-11-05,SH600077,,,,0.0,0.6
2021-11-05,SH600078,,,,0.0,0.9
2021-11-05,SH600079,,,,0.0,0.30000000000000004
2021-11-05,SH600080,,,,0.0,0.8
2021-11-05,SH600081,,,,0.0,0.7
2021-11-05,SH600082,,,,0.0,0.09999999999999998
2021-11-05,SH600083,,,,0.0,0.7
2021-11-05,SH600084,,,,0.0,0.19999999999999996
2021-11-05,SH600085,,,,0.0,0.8
2021-11-05,SH600088,,,,0.0,0.19999999999999996
2021-11-05,SH600089,,,,0.0,0.6
2021-11-05,SH600090,,,,0.0,0.09999999999999998
2021-11-05,SH600091,,,,0.0,0.09999999999999998
2021-11-05,SH600093,,,,0.0,0.6
2021-11-05,SH600094,,,,0.0,0.09999999999999998
2021-11-05,SH600095,,,,0.0,0.7
2021-11-05,SH600096,,,,0.0,0.8
2021-11-05,SH600097,,,,0.0,0.4
2021-11-05,SH600098,,,,0.0,0.9
2021-11-05,SH600099,,,,0.0,0.30000000000000004
2021-11-05,SH600100,,,,0.0,0.30000000000000004
2021-11-05,SH600101,,,,0.0,0.8
2021-11-05,SH600103,,,,0.0,0.0
2021-11-05,SH600104,,,,0.0,0.0
2021-11-05,SH600105,,,,0.0,0.4
2021-11-05,SH600106,,,,0.0,0.5
2021-11-05,SH600107,,,,0.0,0.19999999999999996
2021-11-05,SH600108,,,,0.0,0.7
2021-11-05,SH600109,,,,0.0,0.7
2021-11-05,SH600110,,,,0.0,0.8
2021-11-05,SH600111,,,,0.0,0.6
2021-11-05,SH600112,,,,0.0,0.7
2021-11-05,SH600113,,,,0.0,0.19999999999999996
2021-11-05,SH600114,,,,0.0,0.0
2021-11-05,SH600115,,,,0.0,0.6
2021-11-05,SH600116,,,,0.0,0.9
2021-11-05,SH600117,,,,0.0,0.6
2021-11-05,SH600118,,,,0.0,0.19999999999999996
2021-11-05,SH600119,,,,0.0,0.7
2021-11-05,SH600120,,,,0.0,0.5
2021-11-05,SH600121,,,,0.0,0.7
2021-11-05,SH600122,,,,0.0,0.7
2021-11-05,SH600123,,,,0.0,0.8
2021-11-05,SH600125,,,,0.0,0.5
2021-11-05,SH600126,,,,0.0,0.8
2021-11-05,SH600127,,,,0.0,0.9
2021-11-05,SH600128,,,,0.0,0.0
2021-11-05,SH600129,,,,0.0,0.6
2021-11-05,SH600130,,,,0.0,0.0
2021-11-05,SH600131,,,,0.0,0.9
2021-11-05,SH600132,,,,0.0,0.8
2021-11-05,SH600133,,,,0.0,0.4
2021-11-05,SH600135,,,,0.0,0.7
2021-11-05,SH600136,,,,0.0,0.7
2021-11-05,SH600137,,,,0.0,0.19999999999999996
2021-11-05,SH600138,,,,0.0,0.09999999999999998
2021-11-05,SH600139,,,,0.0,0.7
2021-11-05,SH600141,,,,0.0,0.7
2021-11-05,SH600143,,,,0.0,0.30000000000000004
2021-11-05,SH600145,,,,0.0,0.30000000000000004
2021-11-05,SH600146,,,,0.0,0.09999999999999998
2021-11-05,SH600148,,,,0.0,0.7
2021-11-05,SH600149,,,,0.0,0.6
2021-11-05,SH600150,,,,0.0,0.8
2021-11-05,SH600151,,,,0.0,0.09999999999999998
2021-11-05,SH600152,,,,0.0,0.6
2021-11-05,SH600153,,,,0.0,0.7
2021-11-05,SH600155,,,,0.0,0.4
2021-11-05,SH600156,,,,0.0,0.30000000000000004
2021-11-05,SH600157,,,,0.0,0.7
2021-11-05,SH600158,,,,0.0,0.5
2021-11-05,SH600159,,,,0.0,0.19999999999999996
2021-11-05,SH600160,,,,0.0,0.9
2021-11-05,SH600161,,,,0.0,0.4
2021-11-05,SH600162,,,,0.0,0.19999999999999996
2021-11-05,SH600163,,,,0.0,0.8
2021-11-05,SH600165,,,,0.0,0.6
2021-11-05,SH600166,,,,0.0,0.4
2021-11-05,SH600167,,,,0.0,0.8
2021-11-05,SH600168,,,,0.0,0.6
2021-11-05,SH600169,,,,0.0,0.9
2021-11-05,SH600170,,,,0.0,0.6
2021-11-05,SH600171,,,,0.0,0.5
2021-11-05,SH600172,,,,0.0,0.30000000000000004
2021-11-05,SH600173,,,,0.0,0.4
2021-11-05,SH600176,,,,0.0,0.9
2021-11-05,SH600177,,,,0.0,0.9
2021-11-05,SH600178,,,,0.0,0.7
2021-11-05,SH600179,,,,0.0,0.8
2021-11-05,SH600180,,,,0.0,0.4
2021-11-05,SH600182,,,,0.0,0.5
2021-11-05,SH600183,,,,0.0,0.4
2021-11-05,SH600184,,,,0.0,0.6
2021-11-05,SH600185,,,,0.0,0.8
2021-11-05,SH600186,,,,0.0,0.8
2021-11-05,SH600187,,,,0.0,0.44999999999999996
2021-11-05,SH600188,,,,0.0,0.7
2021-11-05,SH600189,,,,0.0,0.6
2021-11-05,SH600190,,,,0.0,0.7
2021-11-05,SH600191,,,,0.0,0.19999999999999996
2021-11-05,SH600192,,,,0.0,0.6
2021-11-05,SH600193,,,,0.0,0.6
2021-11-05,SH600195,,,,0.0,0.9
2021-11-05,SH600196,,,,0.0,0.19999999999999996
2021-11-05,SH600197,,,,0.0,0.0
2021-11-05,SH600198,,,,0.0,0.6
2021-11-05,SH600199,,,,0.0,0.7
2021-11-05,SH600200,,,,0.0,0.5
2021-11-05,SH600201,,,,0.0,0.7
2021-11-05,SH600202,,,,0.0,0.5
2021-11-05,SH600203,,,,0.0,0.19999999999999996
2021-11-05,SH600206,,,,0.0,0.5
2021-11-05,SH600207,,,,0.0,0.5
2021-11-05,SH600208,,,,0.0,0.9
2021-11-05,SH600209,,,,0.0,0.19999999999999996
2021-11-05,SH600210,,,,0.0,0.7
2021-11-05,SH600211,,,,0.0,0.8
2021-11-05,SH600212,,,,0.0,0.0
2021-11-05,SH600213,,,,0.0,0.6
2021-11-05,SH600215,,,,0.0,0.0
2021-11-05,SH600216,,,,0.0,0.7
2021-11-05,SH600217,,,,0.0,0.7
2021-11-05,SH600218,,,,0.0,0.6
2021-11-05,SH600219,,,,0.0,0.7
2021-11-05,SH600220,,,,0.0,0.7
2021-11-05,SH600221,,,,0.0,0.0
2021-11-05,SH600222,,,,0.0,0.09999999999999998
2021-11-05,SH600223,,,,0.0,0.6
2021-11-05,SH600225,,,,0.0,0.30000000000000004
2021-11-05,SH600226,,,,0.0,0.8
2021-11-05,SH600227,,,,0.0,0.6
